id,abbr,description,first_appearance,flag,name,num_appearances,gold_2014,silver_2014,bronze_2014,gold_total,silver_total,bronze_total,medal_total,medals_2014
france,FRA,"France has been represented at every Olympic Winter Games and hosted the event on three occasions, including the first Games in Chamonix in 1924.",1924,http://gtcdn.sochi2014.com/flag/large/fra.png,France,22,3,2,5,27.0,27.0,40.0,94.0,10
georgia,GEO,Georgia first participated at the Olympic Winter Games in 1994 and has competed at every edition since Lillehammer.,1994,http://gtcdn.sochi2014.com/flag/large/geo.png,Georgia,6,0,0,0,,,,,0
germany,DEU,"Georg Hackl won three consecutive gold medals in the men's single luge at the 1992, 1994 and 1998 Olympic Winter Games. Hackl was also the first luge competitor to have won medals in five consecutive winter Olympic competitions, having finished with silver at the 2002 Salt Lake Games and also a silver at the 1988 Calgary Games when competing for West Germany.",1928,http://gtcdn.sochi2014.com/flag/large/ger.png,Germany,11,8,3,4,71.0,73.0,48.0,192.0,15
great_britain,GBR,"Britain's first Olympic Winter Games gold medal came in curling at the 1924 Games in Chamonix. Curling would again prove a source of success in Salt Lake City in 2002, when Rhona Martin skipped the women's team to gold.",1924,http://gtcdn.sochi2014.com/flag/large/gbr.png,Great Britain,22,1,0,1,10.0,5.0,14.0,29.0,2
greece,GRC,"Cross-country skier Panagiota Tsakiri became the youngest Greek athlete to compete at an Olympic Winter Games in Turin in 2006. She took part in the women's sprint event at age 15. She switched to biathlon in Vancouver in 2010, where she competed alongside her father Athanassios, who was appearing in his fifth Olympic Winter Games. The pair made history as the first father and daughter to compete at the same edition of the Olympic Winter Games.",1936,http://gtcdn.sochi2014.com/flag/large/gre.png,Greece,18,0,0,0,,,,,0
hong_kong,HKG,Hong Kong first sent athletes to the Olympic Winter Games in 2002. Short track speed skater Christy Ren had the honour of becoming the first Hong Kong athlete to compete at the Games when she took part in the women's 1500m event.,2002,http://gtcdn.sochi2014.com/flag/large/hkg.png,Hong Kong,4,0,0,0,,,,,0
hungary,HUN,"All six of Hungary's medals at the Olympic Winter Games have been won in figure skating. In 1932 Emilia Rotter and Laszlo Szollas won their nation's first medal, bronze in the pairs event. Four years later in Garmisch-Partenkirchen, they repeated their bronze medal-winning performance.",1924,http://gtcdn.sochi2014.com/flag/large/hun.png,Hungary,22,0,0,0,0.0,2.0,4.0,6.0,0
iceland,ISL,"Alpine skier Kristinn Bjornsson made four appearances at the Olympic Winter Games [1992-2002], the most by an Icelandic athlete.",1948,http://gtcdn.sochi2014.com/flag/large/isl.png,Iceland,17,0,0,0,,,,,0
ir_iran,IRI,"Iran sent a team of three alpine skiers to its first Olympic Winter Games, in Cortina d'Ampezzo in 1956.",1956,http://gtcdn.sochi2014.com/flag/large/iri.png,Ir Iran,10,0,0,0,,,,,0
ireland,IRL,"At the 2002 Olympic Winter Games in Salt Lake City, Clifton Wrottesley missed winning Ireland's first winter Olympic medal by 0.32 seconds when he finished fourth in the skeleton.Also in Salt Lake City, alpine skier Tamsen McGarry became the first Irish female athlete to participate at the Olympic Winter Games.",1992,http://gtcdn.sochi2014.com/flag/large/irl.png,Ireland,6,0,0,0,,,,,0
israel,ISR,"Israel's first winter Olympian was figure skater Michael Shmerkin. He finished 16th in the men's singles in Lillehammer in 1994. Four years later in Nagano, he placed 18th.",1994,http://gtcdn.sochi2014.com/flag/large/isr.png,Israel,6,0,0,0,,,,,0
italy,ITA,"Italy's Alberto Tomba won gold in both the slalom and giant slalom on his Olympic debut in Calgary in 1988, and clinched the giant slalom again four years later in Albertville, where he became the first alpine skier to win the same Olympic event twice. He also won slalom silver medals in 1992 and 1994 to become the first alpine skier to take home medals from three different Olympic Winter Games and the first male alpine skier to win five Olympic medals.",1924,http://gtcdn.sochi2014.com/flag/large/ita.png,Italy,22,0,2,6,37.0,32.0,37.0,106.0,8
jamaica,JAM,Jamaica made its debut at the Olympic Winter Games in 1988 in Calgary when a team made up of track sprinters was entered in the men's four-man bobsleigh competition.,1988,http://gtcdn.sochi2014.com/flag/large/jam.png,Jamaica,8,0,0,0,,,,,0
japan,JPN,"Japan's first medal at the Olympic Winter Games was won by alpine skier Chiharu Igaya, who claimed silver in the men's slalom at the 1956 Cortina d'Ampezzo Games.",1928,http://gtcdn.sochi2014.com/flag/large/jpn.png,Japan,20,1,4,2,9.0,13.0,15.0,37.0,7
