country,sport,bronze,gold,silver,total
switzerland,ice_hockey,2,0,0,2
switzerland,nordic_combined,1,1,2,4
switzerland,skeleton,2,1,0,3
switzerland,ski_jumping,0,4,1,5
switzerland,snowboard,3,5,1,9
ukraine,biathlon,2,0,1,3
ukraine,figure_skating,1,1,0,2
united_states,alpine_skiing,7,14,18,39
united_states,bobsleigh,7,7,6,20
united_states,cross-country_skiing,0,0,1,1
united_states,curling,1,0,0,1
united_states,figure_skating,17,14,16,47
united_states,freestyle_skiing,4,5,5,14
united_states,ice_hockey,2,3,10,15
united_states,luge,2,0,2,4
united_states,nordic_combined,0,1,3,4
united_states,short_track,9,4,5,18
united_states,skeleton,0,3,3,6
united_states,ski_jumping,1,0,0,1
united_states,snowboard,7,7,5,19
united_states,speed_skating,16,29,22,67
uzbekistan,freestyle_skiing,0,1,0,1
