country,bronze,gold,silver,sport,total
switzerland,2,0,0,ice_hockey,2
switzerland,1,1,2,nordic_combined,4
switzerland,2,1,0,skeleton,3
switzerland,0,4,1,ski_jumping,5
switzerland,3,5,1,snowboard,9
ukraine,2,0,1,biathlon,3
ukraine,1,1,0,figure_skating,2
united_states,7,14,18,alpine_skiing,39
united_states,7,7,6,bobsleigh,20
united_states,0,0,1,cross-country_skiing,1
united_states,1,0,0,curling,1
united_states,17,14,16,figure_skating,47
united_states,4,5,5,freestyle_skiing,14
united_states,2,3,10,ice_hockey,15
united_states,2,0,2,luge,4
united_states,0,1,3,nordic_combined,4
united_states,9,4,5,short_track,18
united_states,0,3,3,skeleton,6
united_states,1,0,0,ski_jumping,1
united_states,7,7,5,snowboard,19
united_states,16,29,22,speed_skating,67
uzbekistan,0,1,0,freestyle_skiing,1
united_states,2,1,1,,4
united_states,2,0,1,,3
united_states,1,1,0,,2
united_states,2,1,2,,5
united_states,1,0,0,,1
united_states,1,0,1,,2
united_states,2,3,0,,5
